ObjectID,GlobalID,Transect Meter Mark,Direction To Group,Distance To Group,Number Seedlings In Group,Number Vegetative In Group,Number Reproductive In Group,siteName,distBetweenTransects,eventDate,recordedBy,transectNumber_,transectOrientation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
52,9c9760c2-f35b-4f3e-8f3e-66891d61d04d,6.35,-,0.1,,,2,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328106,38.6702656666667
53,7acca758-665f-4beb-81c9-50f26c2c4e30,6.68,-,2.38,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328102166667,38.6702353333333
54,ccd2a2a0-a243-4e01-a493-d98df1931d27,10,-,1.87,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328165,38.6702578333333
55,f235ab8e-9659-410e-a208-e488d60e4403,10.1,-,0.48,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.32817,38.670274
56,9595c654-5805-4f4e-9148-0761fbcd6ab3,16.53,+,0.27,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328244166667,38.670288
57,dac1e838-1923-403c-a6dc-92842af426ca,17.05,+,0.14,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328244333333,38.6702868333333
58,c3c2aaaa-d700-4c09-a771-9b4708447bc3,18.02,+,0.18,,7,2,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328223833333,38.6702768333333
59,f2687f68-0624-4e42-8376-417ee7a6e349,18.05,-,0.54,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328236333333,38.6702731666667
60,8357abea-d444-496d-ad60-7a63cebad493,18.2,-,0.19,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328236666667,38.6702733333333
61,0eff2255-2ac5-4def-bab0-5f7878a23f2c,18.25,-,0.54,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328250166667,38.6702735
62,61710345-c919-49ad-a7a3-b5baddd3c8c2,18.56,-,0.31,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328255166667,38.6702711666667
63,31354154-bdf6-4ee3-b127-a7ebc54f9fcc,20.66,+,0.51,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328266833333,38.6702908333333
64,88178d2b-2e23-437c-8968-eff0f8c6812b,27.42,+,0.37,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328340166667,38.6703058333333
65,6188d972-098a-47ba-be5c-dc941730547a,28.6,-,0.48,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328364666667,38.6702983333333
66,41191c38-1f3c-4a7c-8969-dc7f7a5b8cbc,29.78,+,0.64,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3283815,38.6703063333333
67,d76a76ca-34bc-4d74-945f-7a2f085eafb4,30.1,-,1.98,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328396166667,38.6702778333333
68,f3b617b6-00ec-4f10-8782-87188ec63e2f,30.3,+,1.74,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328386166667,38.670312
69,8804427e-f027-4426-a81f-35c101d507fd,31.2,-,2.28,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328398666667,38.6702703333333
70,b9b4b406-5d52-4c4f-8c80-d282ef13d959,32.23,+,0.4,,2,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328406166667,38.6702965
71,7ade94a9-5bb1-4d97-866d-a94a8a429625,33.2,,0.52,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284085,38.6702953333333
72,3c1ca9c4-b1c2-4619-a10c-93c9230d377e,33.24,-,1.42,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284265,38.670304
